Designator,Mid X,Mid Y,Rotation,Layer
D1,134.55,-129.6,0.0,top
D2,172.0,-129.6,0.0,top
J1,140.0,-96.27,0.0,top
SW1,124.65,-117.82,0.0,top
SW2,124.65,-136.91,0.0,top
SW3,143.81,-117.82,0.0,top
SW4,143.81,-136.91,0.0,top
SW5,163.0,-117.82,0.0,top
SW6,163.0,-136.91,0.0,top
SW7,182.0,-117.82,0.0,top
SW8,182.0,-136.91,0.0,top
U1,124.545,-96.38,0.0,top
